SUBJECTCODE,STUDYPERIOD,TOTAL_WEIGHT,GAP,SEVERITY,ASSESSMENT_TYPES_PRESENT,ASSESSMENT_TYPES_MISSING_ESTIMATE
ICT732,25.1,5.0,95.0,CRITICAL,"OQ, PJ, TE, IA",major assessment component missing — manual review required
BUS710,23.2,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
BUS710,23.3,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
BUS710,24.1,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
BUS710,24.2,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
BUS710,24.3,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
BUS710,25.1,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
BUS710,25.2,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
BUS710,25.3,15.0,85.0,CRITICAL,GR,major assessment component missing — manual review required
ICT724,23.1,20.0,80.0,CRITICAL,TE,major assessment component missing — manual review required
BUS303,23.2,30.0,70.0,CRITICAL,"GR, RR",major assessment component missing — manual review required
BUS303,23.3,30.0,70.0,CRITICAL,"GR, RR",major assessment component missing — manual review required
TSL718,23.2,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
TSL718,23.3,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
TSL718,24.1,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
TSL718,24.2,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
TSL718,24.3,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
TSL718,25.1,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
TSL718,25.2,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
TSL718,25.3,30.0,70.0,CRITICAL,DA,major assessment component missing — manual review required
ICT740,25.1,40.0,60.0,CRITICAL,"IA, TX",major assessment component missing — manual review required
ICT740,25.2,40.0,60.0,CRITICAL,"IA, TX",major assessment component missing — manual review required
ICT740,25.3,40.0,60.0,CRITICAL,"IA, TX",major assessment component missing — manual review required
MBA909,24.2,40.0,60.0,CRITICAL,"IA, IW",major assessment component missing — manual review required
MBA909,24.3,40.0,60.0,CRITICAL,"IA, IW",major assessment component missing — manual review required
MBA909,25.1,40.0,60.0,CRITICAL,"IA, IW",major assessment component missing — manual review required
MBA909,25.2,40.0,60.0,CRITICAL,"IA, IW",major assessment component missing — manual review required
MBA909,25.3,40.0,60.0,CRITICAL,"IA, IW",major assessment component missing — manual review required
ICT301,23.3,50.0,50.0,SEVERE,"PJ, RR",major assessment component missing — manual review required
ICT302,23.3,50.0,50.0,SEVERE,"PJ, RR",major assessment component missing — manual review required
ICT703,24.2,50.0,50.0,SEVERE,"OQ, GR, PR, IA",major assessment component missing — manual review required
ICT741,23.2,50.0,50.0,SEVERE,"FE, DA",major assessment component missing — manual review required
ICT741,23.3,50.0,50.0,SEVERE,"FE, DA",major assessment component missing — manual review required
ICT741,24.1,50.0,50.0,SEVERE,"FE, DA",major assessment component missing — manual review required
MBA912,24.2,50.0,50.0,SEVERE,"GR, GP, IA",major assessment component missing — manual review required
MBA912,24.3,50.0,50.0,SEVERE,"GR, GP, IA",major assessment component missing — manual review required
MBA912,25.1,50.0,50.0,SEVERE,"GR, GP, IA",major assessment component missing — manual review required
MBA912,25.2,50.0,50.0,SEVERE,"GR, GP, IA",major assessment component missing — manual review required
MBA912,25.3,50.0,50.0,SEVERE,"GR, GP, IA",major assessment component missing — manual review required
TSL716,23.2,50.0,50.0,SEVERE,"IA, CQ",major assessment component missing — manual review required
TSL716,24.2,50.0,50.0,SEVERE,"IA, CQ",major assessment component missing — manual review required
TSL716,25.2,50.0,50.0,SEVERE,"IA, CQ",major assessment component missing — manual review required
BUS304,24.3,55.0,45.0,SEVERE,"PJ, IA, TP, GP",major assessment component missing — manual review required
BUS304,25.1,55.0,45.0,SEVERE,"PJ, IA, TP",major assessment component missing — manual review required
BUS304,25.2,55.0,45.0,SEVERE,"PJ, IA, TP",major assessment component missing — manual review required
BUS304,25.3,55.0,45.0,SEVERE,"PJ, IA, TP",major assessment component missing — manual review required
BUS303,24.1,60.0,40.0,SEVERE,"GR, GP, RR",major assessment component missing — manual review required
BUS303,24.2,60.0,40.0,SEVERE,"GR, GP, RR",major assessment component missing — manual review required
BUS303,24.3,60.0,40.0,SEVERE,"GR, GP, RR",major assessment component missing — manual review required
BUS303,25.1,60.0,40.0,SEVERE,"GR, GP, RR",major assessment component missing — manual review required
BUS303,25.2,60.0,40.0,SEVERE,"GR, GP, RR",major assessment component missing — manual review required
BUS303,25.3,60.0,40.0,SEVERE,"GR, GP, RR",major assessment component missing — manual review required
ICT100,25.1,60.0,40.0,SEVERE,"IA, TP, OQ",major assessment component missing — manual review required
ICT100,25.2,60.0,40.0,SEVERE,"IA, TP, OQ",major assessment component missing — manual review required
ICT100,25.3,60.0,40.0,SEVERE,"IA, TP, OQ",major assessment component missing — manual review required
ICT702,23.2,60.0,40.0,SEVERE,"PJ, TX, DA, PS",major assessment component missing — manual review required
ICT702,23.3,60.0,40.0,SEVERE,"PJ, TX, PS, DA",major assessment component missing — manual review required
ICT702,24.1,60.0,40.0,SEVERE,"PJ, DA, TX, PS",major assessment component missing — manual review required
ICT702,24.2,60.0,40.0,SEVERE,"PJ, PS, TX, DA",major assessment component missing — manual review required
ICT702,24.3,60.0,40.0,SEVERE,"PJ, TX, DA, OQ",major assessment component missing — manual review required
ICT702,25.1,60.0,40.0,SEVERE,"PJ, PS, DA, TX",major assessment component missing — manual review required
ICT702,25.2,60.0,40.0,SEVERE,"PJ, TX, DA, OQ",major assessment component missing — manual review required
ICT702,25.3,60.0,40.0,SEVERE,"PJ, TX, DA, OQ",major assessment component missing — manual review required
ICT725,24.2,60.0,40.0,SEVERE,"DA, IA, TX",major assessment component missing — manual review required
ICT725,24.3,60.0,40.0,SEVERE,"DA, IA, TX",major assessment component missing — manual review required
ICT725,25.1,60.0,40.0,SEVERE,"DA, IA, TX",major assessment component missing — manual review required
ICT725,25.2,60.0,40.0,SEVERE,"DA, TX, IA",major assessment component missing — manual review required
ICT725,25.3,60.0,40.0,SEVERE,"IA, TX, DA",major assessment component missing — manual review required
ICT728,23.2,60.0,40.0,SEVERE,"IA, GP, PJ",major assessment component missing — manual review required
ICT728,23.3,60.0,40.0,SEVERE,"IA, GP, PJ",major assessment component missing — manual review required
ICT728,24.1,60.0,40.0,SEVERE,"IA, GP, PJ",major assessment component missing — manual review required
ICT728,24.2,60.0,40.0,SEVERE,"IA, GP, PJ",major assessment component missing — manual review required
ICT728,24.3,60.0,40.0,SEVERE,"IA, GP, PJ",major assessment component missing — manual review required
ICT728,25.1,60.0,40.0,SEVERE,"GP, IA, PJ",major assessment component missing — manual review required
ICT728,25.2,60.0,40.0,SEVERE,"IA, GP, PJ",major assessment component missing — manual review required
ICT728,25.3,60.0,40.0,SEVERE,"IA, GP, PJ",major assessment component missing — manual review required
ICT761,24.2,60.0,40.0,SEVERE,"IA, DA, TP",major assessment component missing — manual review required
ICT761,24.3,60.0,40.0,SEVERE,"IA, DA, TP",major assessment component missing — manual review required
ICT761,25.1,60.0,40.0,SEVERE,"IA, DA, TP",major assessment component missing — manual review required
ICT761,25.2,60.0,40.0,SEVERE,"IA, DA, TP",major assessment component missing — manual review required
ICT761,25.3,60.0,40.0,SEVERE,"IA, DA, TP",major assessment component missing — manual review required
MBA901,23.3,60.0,40.0,SEVERE,"RR, IA, DA",major assessment component missing — manual review required
MBA901,24.1,60.0,40.0,SEVERE,"RR, IA, DA",major assessment component missing — manual review required
MBA901,24.2,60.0,40.0,SEVERE,"RR, IA, DA",major assessment component missing — manual review required
MBA901,25.1,60.0,40.0,SEVERE,"RR, IA, DA",major assessment component missing — manual review required
MBA901,25.2,60.0,40.0,SEVERE,"DA, IA, RR",major assessment component missing — manual review required
MBA901,25.3,60.0,40.0,SEVERE,"DA, IA, RR",major assessment component missing — manual review required
TSL709,23.2,60.0,40.0,SEVERE,"GP, DA",major assessment component missing — manual review required
TSL709,24.3,60.0,40.0,SEVERE,"GP, DA",major assessment component missing — manual review required
TSL709,25.3,60.0,40.0,SEVERE,"GP, DA",major assessment component missing — manual review required
ICT274,25.1,65.0,35.0,SEVERE,"GR, GP, IA, TX, OQ",major assessment component missing — manual review required
ICT370,23.2,65.0,35.0,SEVERE,"PJ, ME, RR",major assessment component missing — manual review required
ICT370,23.3,65.0,35.0,SEVERE,"PJ, ME, RR",major assessment component missing — manual review required
ICT370,24.1,65.0,35.0,SEVERE,"PJ, RR, ME",major assessment component missing — manual review required
ICT370,24.2,65.0,35.0,SEVERE,"PJ, ME, RR",major assessment component missing — manual review required
ICT370,24.3,65.0,35.0,SEVERE,"PJ, OQ, RR",major assessment component missing — manual review required
ICT370,25.1,65.0,35.0,SEVERE,"PJ, RR, OQ",major assessment component missing — manual review required
ICT370,25.2,65.0,35.0,SEVERE,"PJ, OQ, RR",major assessment component missing — manual review required
ICT370,25.3,65.0,35.0,SEVERE,"PJ, OQ, RR",major assessment component missing — manual review required
ICT725,23.2,65.0,35.0,SEVERE,"FE, ME, DA",major assessment component missing — manual review required
ICT725,23.3,65.0,35.0,SEVERE,"FE, ME, DA",major assessment component missing — manual review required
MBA907,24.2,65.0,35.0,SEVERE,"IA, GR, GP",major assessment component missing — manual review required
MBA907,24.3,65.0,35.0,SEVERE,"IA, GR, GP",major assessment component missing — manual review required
MBA907,25.1,65.0,35.0,SEVERE,"IA, GR, GP",major assessment component missing — manual review required
MBA907,25.2,65.0,35.0,SEVERE,"IA, GR, GP",major assessment component missing — manual review required
MBA907,25.3,65.0,35.0,SEVERE,"IA, GR, GP",major assessment component missing — manual review required
ICT701,23.2,70.0,30.0,SEVERE,"FE, DA, OQ",major assessment component missing — manual review required
ICT701,23.3,70.0,30.0,SEVERE,"FE, DA, OQ",major assessment component missing — manual review required
ICT701,24.1,70.0,30.0,SEVERE,"FE, DA, OQ",major assessment component missing — manual review required
ICT722,24.3,70.0,30.0,SEVERE,"PJ, DA, OQ",major assessment component missing — manual review required
ICT722,25.1,70.0,30.0,SEVERE,"DA, PJ, OQ",major assessment component missing — manual review required
ICT722,25.2,70.0,30.0,SEVERE,"DA, PJ, OQ",major assessment component missing — manual review required
