SUBJECTCODE,STUDYPERIOD,TOTAL_WEIGHT,NUM_ASSESSMENT_TYPES
ACC100,25.1,100.0,4
ACC100,25.2,100.0,4
ACC100,25.3,100.0,4
ACC101,25.1,100.0,4
ACC101,25.2,100.0,4
ACC101,25.3,100.0,4
ACC200,23.2,100.0,5
ACC200,23.3,100.0,5
ACC200,24.1,100.0,4
ACC200,24.2,100.0,4
ACC200,24.3,100.0,4
ACC200,25.1,100.0,4
ACC200,25.2,100.0,4
ACC200,25.3,100.0,4
ACC201,25.1,100.0,4
ACC201,25.2,100.0,4
ACC201,25.3,100.0,4
ACC202,25.1,100.0,4
ACC202,25.2,100.0,4
ACC202,25.3,100.0,4
ACC203,23.2,100.0,4
ACC203,23.3,100.0,4
ACC203,24.1,100.0,4
ACC203,24.2,100.0,4
ACC203,24.3,100.0,4
ACC203,25.1,100.0,4
ACC203,25.2,100.0,4
ACC203,25.3,100.0,4
ACC204,23.2,100.0,4
ACC204,23.3,100.0,4
ACC204,24.1,100.0,4
ACC204,24.2,100.0,4
ACC204,24.3,100.0,4
ACC300,25.1,100.0,4
ACC300,25.2,100.0,4
ACC300,25.3,100.0,4
ACC301,23.2,100.0,3
ACC301,23.3,100.0,3
ACC301,24.1,100.0,3
ACC301,24.2,100.0,3
ACC301,24.3,100.0,3
ACC301,25.1,100.0,3
ACC301,25.2,100.0,3
ACC301,25.3,100.0,3
ACC303,23.2,100.0,3
ACC303,23.3,100.0,3
ACC303,24.1,100.0,3
ACC303,24.2,100.0,3
ACC303,24.3,100.0,3
ACC303,25.1,100.0,3
ACC303,25.2,100.0,3
ACC303,25.3,100.0,3
ACC700,23.1,100.0,4
ACC700,23.2,100.0,4
ACC700,23.3,100.0,4
ACC700,24.1,100.0,4
ACC700,24.2,100.0,4
ACC700,24.3,100.0,4
ACC700,25.1,100.0,5
ACC700,25.2,100.0,5
ACC700,25.3,100.0,5
ACC701,23.1,100.0,3
ACC701,23.2,100.0,3
ACC701,23.3,100.0,3
ACC701,24.1,100.0,3
ACC701,24.2,100.0,3
ACC701,24.3,100.0,3
ACC702,23.2,100.0,4
ACC702,23.3,100.0,4
ACC702,24.1,100.0,4
ACC702,24.2,100.0,4
ACC702,24.3,100.0,4
ACC703,23.2,100.0,4
ACC703,23.3,100.0,4
ACC703,24.1,100.0,4
ACC703,24.2,100.0,4
ACC703,24.3,100.0,4
ACC703,25.1,100.0,4
ACC703,25.2,100.0,4
ACC703,25.3,100.0,4
ACC704,23.1,100.0,3
ACC704,23.2,100.0,3
ACC704,23.3,100.0,3
ACC704,24.1,100.0,3
ACC704,24.2,100.0,3
ACC704,24.3,100.0,3
ACC704,25.1,100.0,3
ACC704,25.2,100.0,3
ACC704,25.3,100.0,3
ACC705,23.2,100.0,3
ACC705,23.3,100.0,3
ACC705,24.1,100.0,3
ACC705,24.2,100.0,3
ACC705,24.3,100.0,3
ACC706,23.2,100.0,3
ACC706,23.3,100.0,3
ACC706,24.1,100.0,3
ACC706,24.2,100.0,3
ACC706,24.3,100.0,3
ACC706,25.1,100.0,4
ACC706,25.2,100.0,4
ACC706,25.3,100.0,4
ACC707,23.2,100.0,4
ACC707,23.3,100.0,4
ACC707,24.1,100.0,4
ACC707,24.2,100.0,4
ACC707,24.3,100.0,4
ACC707,25.1,100.0,4
ACC707,25.2,100.0,4
ACC707,25.3,100.0,4
ACC708,23.2,100.0,3
ACC708,23.3,100.0,3
ACC708,24.1,100.0,3
ACC708,24.2,100.0,3
ACC708,24.3,100.0,3
ACC708,25.1,100.0,3
ACC708,25.2,100.0,3
ACC708,25.3,100.0,3
BUS100,23.1,100.0,4
BUS100,23.2,100.0,4
BUS100,23.3,100.0,4
BUS100,24.1,100.0,5
BUS100,24.2,100.0,5
BUS100,24.3,100.0,5
BUS100,25.1,100.0,5
BUS100,25.2,100.0,4
BUS100,25.3,100.0,4
BUS101,23.2,100.0,3
BUS101,23.3,100.0,3
BUS101,24.1,100.0,3
BUS101,24.2,100.0,3
BUS101,24.3,100.0,3
BUS101,25.1,100.0,3
BUS101,25.2,100.0,3
BUS101,25.3,100.0,3
BUS104,23.2,100.0,4
BUS104,23.3,100.0,4
BUS104,24.1,100.0,4
BUS104,24.3,100.0,4
BUS104,25.1,100.0,4
BUS104,25.3,100.0,5
BUS105,23.1,100.0,4
BUS105,23.2,100.0,4
BUS105,23.3,100.0,4
BUS105,24.1,100.0,4
BUS105,24.2,100.0,4
BUS105,24.3,100.0,4
BUS105,25.1,100.0,4
BUS105,25.2,100.0,4
BUS105,25.3,100.0,4
BUS200,23.2,100.0,3
BUS200,23.3,100.0,3
BUS200,24.1,100.0,3
BUS200,24.2,100.0,3
BUS200,24.3,100.0,3
BUS200,25.1,100.0,3
BUS200,25.2,100.0,3
BUS200,25.3,100.0,3
BUS300,23.2,100.0,4
BUS300,23.3,100.0,4
BUS300,24.1,100.0,5
BUS300,24.2,100.0,5
BUS300,24.3,100.0,5
BUS300,25.1,100.0,5
BUS300,25.2,100.0,5
BUS300,25.3,100.0,5
BUS302,25.1,100.0,4
BUS302,25.2,100.0,4
BUS302,25.3,100.0,4
BUS304,23.2,100.0,3
BUS304,23.3,100.0,4
BUS700,23.1,100.0,4
BUS700,23.2,100.0,4
BUS700,23.3,100.0,4
BUS700,24.1,100.0,4
BUS700,24.2,100.0,4
BUS700,24.3,100.0,4
BUS700,25.1,100.0,4
BUS700,25.2,100.0,4
BUS700,25.3,100.0,4
BUS702,23.2,100.0,3
BUS702,23.3,100.0,3
BUS702,24.1,100.0,3
BUS702,24.2,100.0,3
BUS702,24.3,100.0,3
BUS702,25.1,100.0,3
BUS702,25.2,100.0,3
BUS702,25.3,100.0,3
BUS708,23.3,100.0,3
BUS708,24.1,100.0,3
BUS708,24.2,100.0,3
BUS708,24.3,100.0,3
BUS708,25.1,100.0,3
BUS709,23.1,100.0,4
BUS709,23.2,100.0,4
BUS709,23.3,100.0,4
BUS709,24.1,100.0,4
BUS709,24.2,100.0,4
BUS709,24.3,100.0,4
BUS709,25.1,100.0,4
BUS709,25.2,100.0,4
BUS709,25.3,100.0,4
ECO100,23.2,100.0,4
ECO100,23.3,100.0,4
ECO100,24.1,100.0,4
ECO100,24.2,100.0,4
ECO100,24.3,100.0,4
ECO100,25.1,100.0,4
ECO100,25.2,100.0,4
ECO100,25.3,100.0,4
FIN200,23.2,100.0,3
FIN200,23.3,100.0,3
FIN200,24.1,100.0,3
FIN200,24.2,100.0,3
FIN200,24.3,100.0,3
FIN200,25.1,100.0,3
FIN200,25.2,100.0,3
FIN200,25.3,100.0,3
FIN201,23.2,100.0,3
FIN201,23.3,100.0,3
FIN201,24.1,100.0,3
FIN201,24.2,100.0,3
FIN201,24.3,100.0,3
FIN201,25.1,100.0,3
FIN201,25.2,100.0,3
FIN201,25.3,100.0,3
FIN203,23.2,100.0,3
FIN203,23.3,100.0,3
FIN203,24.1,100.0,3
FIN203,24.2,100.0,3
FIN203,24.3,100.0,3
FIN203,25.1,100.0,3
FIN203,25.2,100.0,3
FIN203,25.3,100.0,3
FIN300,24.3,100.0,3
FIN300,25.1,100.0,3
FIN700,23.2,100.0,3
FIN700,23.3,100.0,3
FIN700,24.1,100.0,3
FIN700,24.2,100.0,3
FIN700,24.3,100.0,3
FIN700,25.1,100.0,3
FIN700,25.2,100.0,3
FIN700,25.3,100.0,3
ICT100,23.1,100.0,5
ICT100,23.2,100.0,5
ICT100,23.3,100.0,5
ICT100,24.1,100.0,5
ICT100,24.2,100.0,5
ICT100,24.3,100.0,4
ICT101,23.1,100.0,4
ICT101,23.2,100.0,4
ICT101,23.3,100.0,4
ICT101,24.1,100.0,4
ICT101,24.2,100.0,4
ICT101,25.2,100.0,4
ICT101,25.3,100.0,4
ICT102,24.2,100.0,4
ICT103,24.1,100.0,5
ICT103,24.2,100.0,5
ICT103,24.3,100.0,5
ICT103,25.2,100.0,5
ICT103,25.3,100.0,5
ICT104,24.1,100.0,4
ICT104,24.2,100.0,4
ICT104,24.3,100.0,4
ICT104,25.1,100.0,4
ICT104,25.2,100.0,4
ICT104,25.3,100.0,4
ICT106,23.1,100.0,5
ICT106,23.2,100.0,5
ICT106,23.3,100.0,5
ICT200,24.1,100.0,4
ICT200,24.2,100.0,4
ICT200,24.3,100.0,5
ICT200,25.1,100.0,4
ICT200,25.2,100.0,4
ICT200,25.3,100.0,4
ICT201,23.2,100.0,4
ICT201,23.3,100.0,4
ICT201,24.1,100.0,4
ICT201,24.2,100.0,4
ICT201,24.3,100.0,4
ICT201,25.1,100.0,4
ICT201,25.2,100.0,4
ICT201,25.3,100.0,4
ICT203,23.2,100.0,4
ICT203,23.3,100.0,4
ICT203,24.1,100.0,4
ICT203,24.2,100.0,4
ICT203,24.3,100.0,4
ICT203,25.1,100.0,4
ICT203,25.2,100.0,4
ICT203,25.3,100.0,4
ICT205,23.2,100.0,4
ICT205,23.3,100.0,4
ICT205,24.1,100.0,4
ICT205,24.2,100.0,4
ICT205,24.3,100.0,4
ICT205,25.1,100.0,5
ICT205,25.2,100.0,5
ICT205,25.3,100.0,5
ICT272,23.2,100.0,4
ICT272,23.3,100.0,4
ICT272,24.1,100.0,4
ICT272,24.2,100.0,4
ICT274,25.3,100.0,5
ICT275,23.2,100.0,5
ICT275,23.3,100.0,5
ICT275,24.1,100.0,5
ICT275,24.2,100.0,5
ICT275,24.3,100.0,5
ICT275,25.1,100.0,5
ICT275,25.2,100.0,5
ICT275,25.3,100.0,5
ICT301,23.2,100.0,3
ICT301,24.1,100.0,3
ICT301,24.2,100.0,3
ICT301,24.3,100.0,3
ICT301,25.1,100.0,3
ICT301,25.2,100.0,3
ICT301,25.3,100.0,3
ICT302,23.2,100.0,3
ICT302,24.1,100.0,3
ICT302,24.2,100.0,3
ICT302,24.3,100.0,3
ICT302,25.1,100.0,3
ICT302,25.2,100.0,3
ICT302,25.3,100.0,3
ICT303,24.2,100.0,4
ICT303,24.3,100.0,4
ICT303,25.1,100.0,5
ICT303,25.2,100.0,5
ICT303,25.3,100.0,4
ICT304,23.2,100.0,5
ICT304,23.3,100.0,5
ICT304,24.1,100.0,5
ICT304,24.2,100.0,5
ICT304,24.3,100.0,5
ICT304,25.1,100.0,5
ICT304,25.2,100.0,5
ICT304,25.3,100.0,5
ICT371,23.2,100.0,4
ICT371,23.3,100.0,4
ICT371,24.1,100.0,4
ICT371,24.2,100.0,4
ICT371,24.3,100.0,4
ICT371,25.1,100.0,4
ICT371,25.2,100.0,4
ICT371,25.3,100.0,4
ICT372,24.3,100.0,4
ICT372,25.1,100.0,4
ICT372,25.2,100.0,4
ICT372,25.3,100.0,4
ICT700,23.2,100.0,5
ICT700,23.3,100.0,5
ICT700,24.1,100.0,5
ICT700,24.2,100.0,5
ICT700,24.3,100.0,5
ICT700,25.1,100.0,5
ICT700,25.2,100.0,5
ICT700,25.3,100.0,5
ICT701,24.2,100.0,4
ICT701,24.3,100.0,4
ICT701,25.1,100.0,4
ICT701,25.2,100.0,4
ICT701,25.3,100.0,4
ICT703,23.2,100.0,4
ICT703,23.3,100.0,4
ICT703,24.1,100.0,4
ICT703,24.3,100.0,6
ICT703,25.1,100.0,4
ICT703,25.2,100.0,4
ICT703,25.3,100.0,4
ICT710,23.1,100.0,5
ICT710,23.2,100.0,5
ICT710,23.3,100.0,5
ICT710,24.1,100.0,5
ICT710,24.2,100.0,5
ICT710,24.3,100.0,5
ICT710,25.1,100.0,5
ICT710,25.2,100.0,5
ICT710,25.3,100.0,5
ICT711,23.2,100.0,4
ICT711,23.3,100.0,4
ICT711,24.1,100.0,4
ICT711,24.2,100.0,4
ICT711,24.3,100.0,4
ICT711,25.1,100.0,4
ICT711,25.2,100.0,4
ICT711,25.3,100.0,4
ICT712,23.1,100.0,4
ICT712,23.2,100.0,4
ICT712,23.3,100.0,4
ICT712,24.1,100.0,4
ICT712,24.2,100.0,4
ICT712,24.3,100.0,4
ICT712,25.1,100.0,4
ICT712,25.2,100.0,4
ICT712,25.3,100.0,4
ICT713,24.1,100.0,4
ICT713,24.2,100.0,4
ICT713,24.3,100.0,4
ICT713,25.1,100.0,5
ICT713,25.2,100.0,5
ICT713,25.3,100.0,4
ICT722,23.2,100.0,5
ICT722,23.3,100.0,5
ICT722,24.1,100.0,5
ICT723,23.2,100.0,3
ICT723,23.3,100.0,3
ICT723,24.1,100.0,3
ICT723,24.2,100.0,3
ICT723,24.3,100.0,4
ICT723,25.1,100.0,4
ICT723,25.2,100.0,4
ICT723,25.3,100.0,4
ICT724,23.2,100.0,4
ICT724,23.3,100.0,4
ICT724,24.1,100.0,4
ICT724,24.2,100.0,4
ICT724,24.3,100.0,4
ICT724,25.1,100.0,4
ICT724,25.2,100.0,4
ICT724,25.3,100.0,4
ICT725,24.1,100.0,4
ICT726,23.2,100.0,3
ICT726,23.3,100.0,3
ICT726,25.1,100.0,4
ICT726,25.2,100.0,4
ICT726,25.3,100.0,4
ICT729,23.2,100.0,3
ICT729,23.3,100.0,3
ICT729,24.1,100.0,3
ICT729,24.2,100.0,3
ICT729,24.3,100.0,3
ICT729,25.1,100.0,3
ICT729,25.2,100.0,3
ICT729,25.3,100.0,3
ICT731,24.2,100.0,4
ICT731,24.3,100.0,4
ICT731,25.1,100.0,4
ICT731,25.2,100.0,4
ICT731,25.3,100.0,4
ICT733,23.2,100.0,4
ICT733,23.3,100.0,4
ICT733,24.1,100.0,4
ICT733,24.3,100.0,4
ICT734,25.3,100.0,4
ICT742,23.2,100.0,4
ICT742,23.3,100.0,4
ICT742,24.1,100.0,4
ICT742,24.2,100.0,4
ICT742,24.3,100.0,4
ICT743,25.1,100.0,4
ICT743,25.2,100.0,4
ICT743,25.3,100.0,4
ICT750,23.3,100.0,4
ICT750,24.1,100.0,4
ICT750,24.2,100.0,4
ICT750,24.3,100.0,4
ICT750,25.1,100.0,4
ICT750,25.2,100.0,4
ICT750,25.3,100.0,4
ICT761,23.3,100.0,5
ICT761,24.1,100.0,5
ICT762,24.1,100.0,5
ICT762,24.2,100.0,5
ICT762,24.3,100.0,5
ICT762,25.1,100.0,5
ICT762,25.2,100.0,5
ICT762,25.3,100.0,5
MBA902,23.3,100.0,3
MBA902,24.1,100.0,3
MBA902,24.2,100.0,3
MBA902,24.3,100.0,3
MBA902,25.1,100.0,3
MBA902,25.2,100.0,3
MBA902,25.3,100.0,3
MBA908,24.2,100.0,4
MBA908,24.3,100.0,4
MBA908,25.1,100.0,4
MBA908,25.2,100.0,4
MBA908,25.3,100.0,4
MBA911,24.3,100.0,3
MBA911,25.1,100.0,4
MBA911,25.2,100.0,4
MBA911,25.3,100.0,4
MGT100,23.2,100.0,4
MGT100,23.3,100.0,4
MGT200,23.2,100.0,4
MGT200,23.3,100.0,4
MGT200,24.1,100.0,4
MGT200,24.2,100.0,4
MGT200,24.3,100.0,4
MGT200,25.1,100.0,4
MGT200,25.2,100.0,4
MGT200,25.3,100.0,4
MGT203,23.2,100.0,4
