SUBJECTCODE,STUDYPERIOD,WEIGHT_SUM,GAP_TO_100,ASSESSMENT_BREAKDOWN,SEVERITY
ICT724,23.1,20.0,80.0,TE=20,SEVERE
MBA909,24.2,40.0,60.0,"IW=10, IA=30",SEVERE
MBA909,24.3,40.0,60.0,"IW=10, IA=30",SEVERE
MBA909,25.1,40.0,60.0,"IW=10, IA=30",SEVERE
MBA909,25.3,40.0,60.0,"IW=10, IA=30",SEVERE
MBA909,25.2,40.0,60.0,"IW=10, IA=30",SEVERE
ICT722,25.2,70.0,30.0,"OQ=10, DA=30, PJ=30",SEVERE
ICT722,24.3,70.0,30.0,"OQ=10, DA=30, PJ=30",SEVERE
ICT722,25.1,70.0,30.0,"OQ=10, DA=30, PJ=30",SEVERE
ICT722,25.3,70.0,30.0,"OQ=10, DA=30, PJ=30",SEVERE
ICT733,25.1,70.0,30.0,"TE=10, GP=30, DA=30",SEVERE
ICT733,24.2,70.0,30.0,"TE=10, GP=30, DA=30",SEVERE
MGT100,24.1,70.0,30.0,"DA=10, TP=10, IA=30, PR=20",SEVERE
MBA910,24.2,70.0,30.0,"TP=10, AA=15, IA=15, PJ=30",SEVERE
MGT100,25.3,70.0,30.0,"DA=10, TP=10, IA=30, PR=20",SEVERE
MGT100,25.2,70.0,30.0,"DA=10, TP=10, IA=30, PR=20",SEVERE
MGT100,24.3,70.0,30.0,"DA=10, TP=10, IA=30, PR=20",SEVERE
MGT100,25.1,70.0,30.0,"DA=10, TP=10, IA=30, PR=20",SEVERE
MGT100,24.2,70.0,30.0,"DA=10, TP=10, IA=30, PR=20",SEVERE
ICT733,25.2,75.0,25.0,"TE=10, DA=25, PJ=40",MODERATE
ICT740,25.2,75.0,25.0,"TX=15, IA=25, IA=35",MODERATE
ICT740,25.3,75.0,25.0,"TX=15, IA=25, IA=35",MODERATE
BUS708,25.2,75.0,25.0,"OQ=25, DA=50",MODERATE
BUS708,25.3,75.0,25.0,"OQ=25, IA=50",MODERATE
ICT740,25.1,75.0,25.0,"TX=15, IA=25, IA=35",MODERATE
BUS303,24.3,80.0,20.0,"RR=10, GP=20, GR=30, RR=20",MODERATE
BUS303,23.2,80.0,20.0,"RR=10, GR=20, GR=30, RR=20",MODERATE
BUS303,25.1,80.0,20.0,"RR=10, GP=20, GR=30, RR=20",MODERATE
BUS303,24.2,80.0,20.0,"RR=10, GP=20, GR=30, RR=20",MODERATE
BUS303,24.1,80.0,20.0,"RR=10, GP=20, GR=30, RR=20",MODERATE
BUS303,23.3,80.0,20.0,"RR=10, GR=20, GR=30, RR=20",MODERATE
BUS302,24.3,80.0,20.0,"DA=30, GR=20, IA=30",MODERATE
ICT101,25.1,80.0,20.0,"WE=20, OQ=20, DA=40",MODERATE
BUS302,24.1,80.0,20.0,"DA=30, GR=20, IA=30",MODERATE
BUS302,23.3,80.0,20.0,"IA=20, GR=20, FE=40",MODERATE
BUS302,23.2,80.0,20.0,"IA=20, GR=20, FE=40",MODERATE
ICT101,24.3,80.0,20.0,"WE=20, OQ=20, DA=40",MODERATE
BUS303,25.2,80.0,20.0,"RR=10, GP=20, GR=30, RR=20",MODERATE
MBA901,24.3,80.0,20.0,"DA=20, IA=20, RR=40",MODERATE
BUS302,24.2,80.0,20.0,"DA=30, GR=20, IA=30",MODERATE
BUS303,25.3,80.0,20.0,"RR=10, GP=20, GR=30, RR=20",MODERATE
BUS710,25.1,85.0,15.0,"GR=15, GR=10, GR=60",MODERATE
BUS710,25.3,85.0,15.0,"GR=15, GR=10, GR=60",MODERATE
MGT201,24.2,85.0,15.0,"TP=10, IA=25, OQ=15, GP=10, GR=25",MODERATE
BUS710,24.3,85.0,15.0,"GR=15, GR=10, GR=60",MODERATE
MGT201,24.1,85.0,15.0,"TP=10, IA=25, OQ=15, GP=10, GR=25",MODERATE
